N,81cN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
3,85320,84240,1080,,,,,,,,,,,,,
4,1663740,1579500,84240,,,,,,,,,,,,,
5,25621596,22441536,3116880,63180,,,,,,,,,,,,
6,324540216,247615056,71772480,5068440,84240,,,,,,,,,,,
7,3477216600,2144076480,1137240000,184485600,11372400,,42120,,,,,,,,,
8,32164253550,14587567020,12981215520,3996514080,573168960,22744800,3032640,,,10530,,,,,,
9,260887834350,77541824880,108956689920,56941354080,15417548640,1857807900,160729920,11119680,,758160,,,,1170,,
10,1878392407320,318294370368,676366666560,557948898000,253318946400,62354111040,9176162112,827405280,78848640,23882040,3032640,,,84240,,
11,12124169174520,991227481920,3091339021680,3829696640640,2704419900000,1144078603200,306795509280,49231877760,6382949040,729349920,243622080,21228480,,2611440,379080,
12,70724320184700,2284535476080,10266579666720,18459179294400,19278240770880,12746054337120,5650817178240,1649199670560,330527433600,48500063820,8323838640,2091005280,160729920,86346000,21340800,3032640