ALGORITHM,NUMBER OF ELEMENTS,NUMBER OF COMPARISONS,NUMBER OF SWAPS,
BUBBLE,7,21,9,
BUBBLE,74,2701,1272,
BUBBLE,76,2850,1024,
BUBBLE,94,4371,2093,
BUBBLE,14,91,56,
BUBBLE,91,4095,1967,
BUBBLE,63,1953,871,
BUBBLE,95,4465,2417,
BUBBLE,44,946,506,
BUBBLE,30,435,228,
BUBBLE,98,4753,2567,
BUBBLE,85,3570,1717,
BUBBLE,7,21,15,
BUBBLE,15,105,51,
BUBBLE,58,1653,925,
BUBBLE,64,2016,1114,
BUBBLE,17,136,67,
BUBBLE,45,990,501,
BUBBLE,19,171,88,
BUBBLE,37,666,299,
BUBBLE,95,4465,2109,
BUBBLE,50,1225,516,
BUBBLE,50,1225,526,
BUBBLE,27,351,209,
BUBBLE,18,153,88,
BUBBLE,62,1891,898,
BUBBLE,72,2556,1198,
BUBBLE,72,2556,1258,
BUBBLE,25,300,133,
BUBBLE,55,1485,761,
BUBBLE,31,465,263,
BUBBLE,48,1128,610,
BUBBLE,49,1176,547,
BUBBLE,43,903,461,
BUBBLE,6,15,9,
BUBBLE,80,3160,1529,
BUBBLE,20,190,88,
BUBBLE,16,120,63,
BUBBLE,54,1431,651,
BUBBLE,86,3655,1742,
BUBBLE,100,4950,2418,
BUBBLE,13,78,43,
BUBBLE,34,561,230,
BUBBLE,23,253,142,
BUBBLE,44,946,418,
BUBBLE,79,3081,1554,
BUBBLE,54,1431,707,
BUBBLE,58,1653,844,
BUBBLE,29,406,179,
BUBBLE,48,1128,464,
BUBBLE,59,1711,799,
BUBBLE,90,4005,1601,
BUBBLE,59,1711,846,
BUBBLE,59,1711,808,
BUBBLE,39,741,350,
BUBBLE,52,1326,622,
BUBBLE,29,406,201,
BUBBLE,55,1485,673,
BUBBLE,16,120,59,
BUBBLE,75,2775,1397,
BUBBLE,21,210,112,
BUBBLE,34,561,297,
BUBBLE,48,1128,534,
BUBBLE,73,2628,1129,
BUBBLE,40,780,425,
BUBBLE,39,741,392,
BUBBLE,86,3655,1494,
BUBBLE,68,2278,1232,
BUBBLE,66,2145,1035,
BUBBLE,39,741,385,
BUBBLE,44,946,569,
BUBBLE,43,903,437,
BUBBLE,97,4656,2140,
BUBBLE,30,435,206,
BUBBLE,69,2346,1167,
BUBBLE,18,153,85,
BUBBLE,25,300,123,
BUBBLE,50,1225,528,
BUBBLE,83,3403,1576,
BUBBLE,51,1275,635,
BUBBLE,8,28,14,
BUBBLE,84,3486,1495,
BUBBLE,73,2628,1493,
BUBBLE,66,2145,1104,
BUBBLE,65,2080,879,
BUBBLE,94,4371,2229,
BUBBLE,16,120,64,
BUBBLE,38,703,297,
BUBBLE,99,4851,2537,
BUBBLE,28,378,211,
BUBBLE,97,4656,2322,
BUBBLE,72,2556,1248,
BUBBLE,78,3003,1423,
BUBBLE,79,3081,1300,
BUBBLE,98,4753,2296,
BUBBLE,46,1035,481,
BUBBLE,75,2775,1292,
BUBBLE,35,595,282,
BUBBLE,86,3655,1648,
BUBBLE,68,2278,1048,
QUICK,7,11,11,
QUICK,74,409,409,
QUICK,76,445,445,
QUICK,94,545,545,
QUICK,14,43,43,
QUICK,91,593,593,
QUICK,63,321,321,
QUICK,95,672,672,
QUICK,44,271,271,
QUICK,30,117,117,
QUICK,98,553,553,
QUICK,85,465,465,
QUICK,7,12,12,
QUICK,15,48,48,
QUICK,58,278,278,
QUICK,64,341,341,
QUICK,17,66,66,
QUICK,45,239,239,
QUICK,19,76,76,
QUICK,37,166,166,
QUICK,95,585,585,
QUICK,50,233,233,
QUICK,50,271,271,
QUICK,27,104,104,
QUICK,18,56,56,
QUICK,62,367,367,
QUICK,72,393,393,
QUICK,72,368,368,
QUICK,25,113,113,
QUICK,55,300,300,
QUICK,31,135,135,
QUICK,48,220,220,
QUICK,49,237,237,
QUICK,43,193,193,
QUICK,6,9,9,
QUICK,80,512,512,
QUICK,20,70,70,
QUICK,16,60,60,
QUICK,54,286,286,
QUICK,86,547,547,
QUICK,100,621,621,
QUICK,13,32,32,
QUICK,34,141,141,
QUICK,23,85,85,
QUICK,44,194,194,
QUICK,79,451,451,
QUICK,54,324,324,
QUICK,58,322,322,
QUICK,29,119,119,
QUICK,48,261,261,
QUICK,59,301,301,
QUICK,90,524,524,
QUICK,59,306,306,
QUICK,59,272,272,
QUICK,39,182,182,
QUICK,52,265,265,
QUICK,29,107,107,
QUICK,55,391,391,
QUICK,16,46,46,
QUICK,75,436,436,
QUICK,21,75,75,
QUICK,34,162,162,
QUICK,48,222,222,
QUICK,73,440,440,
QUICK,40,183,183,
QUICK,39,197,197,
QUICK,86,501,501,
QUICK,68,398,398,
QUICK,66,408,408,
QUICK,39,190,190,
QUICK,44,215,215,
QUICK,43,191,191,
QUICK,97,663,663,
QUICK,30,143,143,
QUICK,69,401,401,
QUICK,18,73,73,
QUICK,25,103,103,
QUICK,50,264,264,
QUICK,83,596,596,
QUICK,51,288,288,
QUICK,8,14,14,
QUICK,84,518,518,
QUICK,73,388,388,
QUICK,66,335,335,
QUICK,65,328,328,
QUICK,94,577,577,
QUICK,16,50,50,
QUICK,38,208,208,
QUICK,99,661,661,
QUICK,28,107,107,
QUICK,97,730,730,
QUICK,72,425,425,
QUICK,78,475,475,
QUICK,79,439,439,
QUICK,98,580,580,
QUICK,46,223,223,
QUICK,75,455,455,
QUICK,35,177,177,
QUICK,86,535,535,
QUICK,68,350,350,
BUBBLE,51,1275,493,1768
BUBBLE,28,378,181,559
BUBBLE,12,66,40,106
BUBBLE,47,1081,451,1532
BUBBLE,13,78,38,116
BUBBLE,51,1275,645,1920
BUBBLE,27,351,160,511
BUBBLE,47,1081,642,1723
BUBBLE,93,4278,2209,6487
BUBBLE,22,231,110,341
BUBBLE,88,3828,2012,5840
BUBBLE,26,325,170,495
BUBBLE,45,990,483,1473
BUBBLE,23,253,135,388
BUBBLE,48,1128,567,1695
BUBBLE,72,2556,1260,3816
BUBBLE,78,3003,1585,4588
BUBBLE,31,465,182,647
BUBBLE,33,528,231,759
BUBBLE,5,10,7,17
BUBBLE,67,2211,1161,3372
BUBBLE,68,2278,1133,3411
BUBBLE,58,1653,754,2407
BUBBLE,11,55,32,87
BUBBLE,37,666,293,959
BUBBLE,36,630,351,981
BUBBLE,27,351,187,538
BUBBLE,27,351,140,491
BUBBLE,22,231,116,347
BUBBLE,68,2278,1178,3456
BUBBLE,41,820,369,1189
BUBBLE,37,666,275,941
BUBBLE,13,78,45,123
BUBBLE,69,2346,963,3309
BUBBLE,61,1830,839,2669
BUBBLE,40,780,428,1208
BUBBLE,88,3828,1599,5427
BUBBLE,77,2926,1290,4216
BUBBLE,14,91,54,145
BUBBLE,33,528,221,749
BUBBLE,99,4851,2454,7305
BUBBLE,49,1176,490,1666
BUBBLE,68,2278,922,3200
BUBBLE,89,3916,1975,5891
BUBBLE,98,4753,2119,6872
BUBBLE,34,561,253,814
BUBBLE,100,4950,2260,7210
BUBBLE,33,528,175,703
BUBBLE,49,1176,582,1758
BUBBLE,88,3828,1886,5714
BUBBLE,50,1225,553,1778
BUBBLE,84,3486,1671,5157
BUBBLE,47,1081,544,1625
BUBBLE,15,105,33,138
BUBBLE,48,1128,586,1714
BUBBLE,36,630,284,914
BUBBLE,69,2346,1116,3462
BUBBLE,38,703,301,1004
BUBBLE,15,105,55,160
BUBBLE,47,1081,576,1657
BUBBLE,27,351,141,492
BUBBLE,65,2080,989,3069
BUBBLE,25,300,154,454
BUBBLE,50,1225,679,1904
BUBBLE,20,190,76,266
BUBBLE,44,946,510,1456
BUBBLE,72,2556,1222,3778
BUBBLE,90,4005,1882,5887
BUBBLE,21,210,115,325
BUBBLE,29,406,179,585
BUBBLE,92,4186,2049,6235
BUBBLE,8,28,7,35
BUBBLE,63,1953,1029,2982
BUBBLE,13,78,49,127
BUBBLE,69,2346,964,3310
BUBBLE,16,120,44,164
BUBBLE,99,4851,2268,7119
BUBBLE,6,15,8,23
BUBBLE,44,946,420,1366
BUBBLE,90,4005,1965,5970
BUBBLE,78,3003,1640,4643
BUBBLE,97,4656,1970,6626
BUBBLE,94,4371,2248,6619
BUBBLE,50,1225,547,1772
BUBBLE,87,3741,1525,5266
BUBBLE,86,3655,1552,5207
BUBBLE,78,3003,1648,4651
BUBBLE,53,1378,683,2061
BUBBLE,29,406,182,588
BUBBLE,35,595,265,860
BUBBLE,72,2556,1397,3953
BUBBLE,90,4005,1728,5733
BUBBLE,94,4371,1914,6285
BUBBLE,9,36,17,53
BUBBLE,17,136,73,209
BUBBLE,13,78,38,116
BUBBLE,99,4851,2033,6884
BUBBLE,68,2278,1082,3360
BUBBLE,99,4851,2338,7189
BUBBLE,20,190,109,299
QUICK,51,256,256,
QUICK,28,110,110,
QUICK,12,28,28,
QUICK,47,234,234,
QUICK,13,55,55,
QUICK,51,269,269,
QUICK,27,102,102,
QUICK,47,249,249,
QUICK,93,552,552,
QUICK,22,88,88,
QUICK,88,482,482,
QUICK,26,103,103,
QUICK,45,190,190,
QUICK,23,83,83,
QUICK,48,248,248,
QUICK,72,410,410,
QUICK,78,457,457,
QUICK,31,140,140,
QUICK,33,149,149,
QUICK,5,7,7,
QUICK,67,393,393,
QUICK,68,380,380,
QUICK,58,359,359,
QUICK,11,43,43,
QUICK,37,183,183,
QUICK,36,156,156,
QUICK,27,95,95,
QUICK,27,108,108,
QUICK,22,72,72,
QUICK,68,400,400,
QUICK,41,213,213,
QUICK,37,147,147,
QUICK,13,37,37,
QUICK,69,393,393,
QUICK,61,379,379,
QUICK,40,222,222,
QUICK,88,601,601,
QUICK,77,486,486,
QUICK,14,41,41,
QUICK,33,137,137,
QUICK,99,637,637,
QUICK,49,309,309,
QUICK,68,386,386,
QUICK,89,552,552,
QUICK,98,606,606,
QUICK,34,150,150,
QUICK,100,638,638,
QUICK,33,153,153,
QUICK,49,210,210,
QUICK,88,628,628,
QUICK,50,317,317,
QUICK,84,533,533,
QUICK,47,248,248,
QUICK,15,36,36,
QUICK,48,213,213,
QUICK,36,172,172,
QUICK,69,380,380,
QUICK,38,215,215,
QUICK,15,45,45,
QUICK,47,207,207,
QUICK,27,108,108,
QUICK,65,344,344,
QUICK,25,109,109,
QUICK,50,278,278,
QUICK,20,61,61,
QUICK,44,195,195,
QUICK,72,432,432,
QUICK,90,497,497,
QUICK,21,66,66,
QUICK,29,106,106,
QUICK,92,636,636,
QUICK,8,18,18,
QUICK,63,345,345,
QUICK,13,48,48,
QUICK,69,488,488,
QUICK,16,50,50,
QUICK,99,655,655,
QUICK,6,12,12,
QUICK,44,233,233,
QUICK,90,553,553,
QUICK,78,434,434,
QUICK,97,568,568,
QUICK,94,755,755,
QUICK,50,239,239,
QUICK,87,473,473,
QUICK,86,440,440,
QUICK,78,492,492,
QUICK,53,248,248,
QUICK,29,105,105,
QUICK,35,146,146,
QUICK,72,399,399,
QUICK,90,539,539,
QUICK,94,536,536,
QUICK,9,27,27,
QUICK,17,52,52,
QUICK,13,29,29,
QUICK,99,689,689,
QUICK,68,464,464,
QUICK,99,594,594,
QUICK,20,58,58,
BUBBLE,12,66,40,106
BUBBLE,74,2701,1428,4129
BUBBLE,49,1176,674,1850
BUBBLE,24,276,101,377
BUBBLE,43,903,475,1378
BUBBLE,39,741,373,1114
BUBBLE,82,3321,1760,5081
BUBBLE,47,1081,485,1566
BUBBLE,17,136,73,209
BUBBLE,15,105,55,160
BUBBLE,72,2556,1276,3832
BUBBLE,97,4656,2346,7002
BUBBLE,92,4186,2353,6539
BUBBLE,11,55,35,90
BUBBLE,97,4656,2133,6789
BUBBLE,19,171,97,268
BUBBLE,22,231,93,324
BUBBLE,83,3403,1843,5246
BUBBLE,11,55,34,89
BUBBLE,11,55,38,93
BUBBLE,89,3916,1845,5761
BUBBLE,48,1128,566,1694
BUBBLE,95,4465,2233,6698
BUBBLE,86,3655,1894,5549
BUBBLE,43,903,428,1331
BUBBLE,88,3828,1952,5780
BUBBLE,26,325,214,539
BUBBLE,55,1485,734,2219
BUBBLE,73,2628,1250,3878
BUBBLE,18,153,66,219
BUBBLE,52,1326,647,1973
BUBBLE,28,378,190,568
BUBBLE,77,2926,1322,4248
BUBBLE,14,91,25,116
BUBBLE,42,861,466,1327
BUBBLE,75,2775,1350,4125
BUBBLE,19,171,103,274
BUBBLE,11,55,16,71
BUBBLE,28,378,217,595
BUBBLE,56,1540,818,2358
BUBBLE,84,3486,1689,5175
BUBBLE,97,4656,2240,6896
BUBBLE,32,496,201,697
BUBBLE,54,1431,761,2192
BUBBLE,36,630,334,964
BUBBLE,10,45,23,68
BUBBLE,45,990,480,1470
BUBBLE,28,378,170,548
BUBBLE,79,3081,1620,4701
BUBBLE,7,21,8,29
BUBBLE,23,253,125,378
BUBBLE,91,4095,2023,6118
BUBBLE,46,1035,494,1529
BUBBLE,29,406,221,627
BUBBLE,58,1653,784,2437
BUBBLE,13,78,35,113
BUBBLE,100,4950,2578,7528
BUBBLE,41,820,403,1223
BUBBLE,88,3828,2024,5852
BUBBLE,58,1653,757,2410
BUBBLE,95,4465,2339,6804
BUBBLE,86,3655,1751,5406
BUBBLE,87,3741,2120,5861
BUBBLE,10,45,27,72
BUBBLE,44,946,486,1432
BUBBLE,98,4753,2303,7056
BUBBLE,84,3486,1761,5247
BUBBLE,97,4656,2385,7041
BUBBLE,93,4278,2395,6673
BUBBLE,34,561,263,824
BUBBLE,39,741,393,1134
BUBBLE,63,1953,1023,2976
BUBBLE,64,2016,990,3006
BUBBLE,80,3160,1569,4729
BUBBLE,63,1953,1074,3027
BUBBLE,65,2080,1197,3277
BUBBLE,62,1891,886,2777
BUBBLE,50,1225,543,1768
BUBBLE,5,10,4,14
BUBBLE,49,1176,615,1791
BUBBLE,8,28,10,38
BUBBLE,37,666,370,1036
BUBBLE,35,595,285,880
BUBBLE,63,1953,909,2862
BUBBLE,28,378,211,589
BUBBLE,72,2556,1204,3760
BUBBLE,58,1653,801,2454
BUBBLE,22,231,90,321
BUBBLE,76,2850,1599,4449
BUBBLE,7,21,16,37
BUBBLE,46,1035,584,1619
BUBBLE,59,1711,738,2449
BUBBLE,7,21,8,29
BUBBLE,78,3003,1644,4647
BUBBLE,97,4656,2143,6799
BUBBLE,12,66,38,104
BUBBLE,71,2485,1065,3550
BUBBLE,34,561,278,839
BUBBLE,100,4950,2602,7552
BUBBLE,41,820,439,1259
QUICK,12,39,39,
QUICK,74,369,369,
QUICK,49,260,260,
QUICK,24,80,80,
QUICK,43,244,244,
QUICK,39,242,242,
QUICK,82,456,456,
QUICK,47,236,236,
QUICK,17,64,64,
QUICK,15,40,40,
QUICK,72,393,393,
QUICK,97,604,604,
QUICK,92,540,540,
QUICK,11,42,42,
QUICK,97,581,581,
QUICK,19,82,82,
QUICK,22,81,81,
QUICK,83,634,634,
QUICK,11,33,33,
QUICK,11,25,25,
QUICK,89,550,550,
QUICK,48,217,217,
QUICK,95,594,594,
QUICK,86,545,545,
QUICK,43,232,232,
QUICK,88,546,546,
QUICK,26,104,104,
QUICK,55,305,305,
QUICK,73,389,389,
QUICK,18,51,51,
QUICK,52,248,248,
QUICK,28,108,108,
QUICK,77,512,512,
QUICK,14,63,63,
QUICK,42,191,191,
QUICK,75,428,428,
QUICK,19,59,59,
QUICK,11,33,33,
QUICK,28,117,117,
QUICK,56,317,317,
QUICK,84,448,448,
QUICK,97,567,567,
QUICK,32,142,142,
QUICK,54,263,263,
QUICK,36,163,163,
QUICK,10,23,23,
QUICK,45,243,243,
QUICK,28,112,112,
QUICK,79,460,460,
QUICK,7,13,13,
QUICK,23,97,97,
QUICK,91,595,595,
QUICK,46,227,227,
QUICK,29,142,142,
QUICK,58,325,325,
QUICK,13,32,32,
QUICK,100,601,601,
QUICK,41,165,165,
QUICK,88,529,529,
QUICK,58,291,291,
QUICK,95,596,596,
QUICK,86,630,630,
QUICK,87,555,555,
QUICK,10,22,22,
QUICK,44,194,194,
QUICK,98,554,554,
QUICK,84,472,472,
QUICK,97,584,584,
QUICK,93,514,514,
QUICK,34,183,183,
QUICK,39,165,165,
QUICK,63,326,326,
QUICK,64,306,306,
QUICK,80,512,512,
QUICK,63,364,364,
QUICK,65,359,359,
QUICK,62,315,315,
QUICK,50,215,215,
QUICK,5,6,6,
QUICK,49,245,245,
QUICK,8,22,22,
QUICK,37,159,159,
QUICK,35,156,156,
QUICK,63,350,350,
QUICK,28,116,116,
QUICK,72,434,434,
QUICK,58,375,375,
QUICK,22,79,79,
QUICK,76,431,431,
QUICK,7,18,18,
QUICK,46,242,242,
QUICK,59,311,311,
QUICK,7,12,12,
QUICK,78,478,478,
QUICK,97,695,695,
QUICK,12,31,31,
QUICK,71,471,471,
QUICK,34,135,135,
QUICK,100,687,687,
QUICK,41,207,207,
BUBBLE,44,946,467,1413
BUBBLE,37,666,370,1036
BUBBLE,78,3003,1329,4332
BUBBLE,50,1225,637,1862
BUBBLE,30,435,215,650
BUBBLE,14,91,66,157
BUBBLE,54,1431,698,2129
BUBBLE,7,21,5,26
BUBBLE,88,3828,1898,5726
BUBBLE,57,1596,827,2423
BUBBLE,18,153,83,236
BUBBLE,23,253,88,341
BUBBLE,66,2145,1061,3206
BUBBLE,50,1225,627,1852
BUBBLE,40,780,472,1252
BUBBLE,65,2080,1053,3133
BUBBLE,65,2080,1181,3261
BUBBLE,88,3828,1978,5806
BUBBLE,80,3160,1495,4655
BUBBLE,90,4005,2223,6228
BUBBLE,94,4371,1821,6192
BUBBLE,7,21,13,34
BUBBLE,92,4186,2439,6625
BUBBLE,93,4278,2459,6737
BUBBLE,19,171,105,276
BUBBLE,48,1128,579,1707
BUBBLE,88,3828,1844,5672
BUBBLE,6,15,6,21
BUBBLE,50,1225,614,1839
BUBBLE,13,78,53,131
BUBBLE,5,10,2,12
BUBBLE,52,1326,713,2039
BUBBLE,15,105,50,155
BUBBLE,34,561,257,818
BUBBLE,87,3741,2039,5780
BUBBLE,26,325,179,504
BUBBLE,76,2850,1508,4358
BUBBLE,39,741,408,1149
BUBBLE,35,595,330,925
BUBBLE,87,3741,1756,5497
BUBBLE,46,1035,471,1506
BUBBLE,83,3403,1748,5151
BUBBLE,28,378,165,543
BUBBLE,83,3403,1683,5086
BUBBLE,80,3160,1609,4769
BUBBLE,38,703,379,1082
BUBBLE,17,136,81,217
BUBBLE,33,528,294,822
BUBBLE,21,210,76,286
BUBBLE,30,435,185,620
BUBBLE,33,528,295,823
BUBBLE,21,210,96,306
BUBBLE,85,3570,1670,5240
BUBBLE,42,861,450,1311
BUBBLE,54,1431,795,2226
BUBBLE,29,406,179,585
BUBBLE,41,820,456,1276
BUBBLE,96,4560,1849,6409
BUBBLE,44,946,454,1400
BUBBLE,39,741,372,1113
BUBBLE,18,153,84,237
BUBBLE,19,171,76,247
BUBBLE,37,666,317,983
BUBBLE,33,528,318,846
BUBBLE,77,2926,1274,4200
BUBBLE,37,666,349,1015
BUBBLE,59,1711,871,2582
BUBBLE,72,2556,1226,3782
BUBBLE,41,820,474,1294
BUBBLE,95,4465,2290,6755
BUBBLE,81,3240,1488,4728
BUBBLE,95,4465,2245,6710
BUBBLE,5,10,5,15
BUBBLE,92,4186,1966,6152
BUBBLE,12,66,29,95
BUBBLE,64,2016,1023,3039
BUBBLE,89,3916,2008,5924
BUBBLE,22,231,115,346
BUBBLE,28,378,180,558
BUBBLE,83,3403,1779,5182
BUBBLE,98,4753,2582,7335
BUBBLE,14,91,40,131
BUBBLE,34,561,251,812
BUBBLE,87,3741,2021,5762
BUBBLE,53,1378,718,2096
BUBBLE,33,528,232,760
BUBBLE,12,66,41,107
BUBBLE,77,2926,1486,4412
BUBBLE,42,861,462,1323
BUBBLE,79,3081,1563,4644
BUBBLE,13,78,40,118
BUBBLE,98,4753,2312,7065
BUBBLE,49,1176,701,1877
BUBBLE,90,4005,1883,5888
BUBBLE,12,66,27,93
BUBBLE,63,1953,963,2916
BUBBLE,63,1953,1057,3010
BUBBLE,75,2775,1327,4102
BUBBLE,88,3828,1883,5711
BUBBLE,57,1596,753,2349
QUICK,44,221,221,
QUICK,37,173,173,
QUICK,78,437,437,
QUICK,50,288,288,
QUICK,30,146,146,
QUICK,14,40,40,
QUICK,54,263,263,
QUICK,7,12,12,
QUICK,88,551,551,
QUICK,57,275,275,
QUICK,18,57,57,
QUICK,23,115,115,
QUICK,66,346,346,
QUICK,50,233,233,
QUICK,40,194,194,
QUICK,65,360,360,
QUICK,65,371,371,
QUICK,88,565,565,
QUICK,80,482,482,
QUICK,90,492,492,
QUICK,94,547,547,
QUICK,7,15,15,
QUICK,92,640,640,
QUICK,93,541,541,
QUICK,19,75,75,
QUICK,48,269,269,
QUICK,88,505,505,
QUICK,6,12,12,
QUICK,50,241,241,
QUICK,13,34,34,
QUICK,5,6,6,
QUICK,52,275,275,
QUICK,15,52,52,
QUICK,34,140,140,
QUICK,87,504,504,
QUICK,26,90,90,
QUICK,76,456,456,
QUICK,39,167,167,
QUICK,35,153,153,
QUICK,87,505,505,
QUICK,46,209,209,
QUICK,83,627,627,
QUICK,28,121,121,
QUICK,83,466,466,
QUICK,80,495,495,
QUICK,38,221,221,
QUICK,17,64,64,
QUICK,33,123,123,
QUICK,21,77,77,
QUICK,30,132,132,
QUICK,33,148,148,
QUICK,21,70,70,
QUICK,85,529,529,
QUICK,42,286,286,
QUICK,54,278,278,
QUICK,29,116,116,
QUICK,41,189,189,
QUICK,96,632,632,
QUICK,44,256,256,
QUICK,39,182,182,
QUICK,18,58,58,
QUICK,19,59,59,
QUICK,37,223,223,
QUICK,33,151,151,
QUICK,77,460,460,
QUICK,37,161,161,
QUICK,59,323,323,
QUICK,72,407,407,
QUICK,41,203,203,
QUICK,95,808,808,
QUICK,81,471,471,
QUICK,95,598,598,
QUICK,5,6,6,
QUICK,92,571,571,
QUICK,12,29,29,
QUICK,64,367,367,
QUICK,89,566,566,
QUICK,22,94,94,
QUICK,28,114,114,
QUICK,83,522,522,
QUICK,98,556,556,
QUICK,14,36,36,
QUICK,34,144,144,
QUICK,87,550,550,
QUICK,53,274,274,
QUICK,33,139,139,
QUICK,12,38,38,
QUICK,77,511,511,
QUICK,42,205,205,
QUICK,79,556,556,
QUICK,13,33,33,
QUICK,98,794,794,
QUICK,49,228,228,
QUICK,90,585,585,
QUICK,12,28,28,
QUICK,63,356,356,
QUICK,63,295,295,
QUICK,75,497,497,
QUICK,88,719,719,
QUICK,57,267,267,
BUBBLE,32,496,239,735
BUBBLE,77,2926,1341,4267
BUBBLE,85,3570,1707,5277
BUBBLE,44,946,480,1426
BUBBLE,50,1225,562,1787
BUBBLE,62,1891,902,2793
BUBBLE,41,820,409,1229
BUBBLE,97,4656,2427,7083
BUBBLE,9,36,22,58
BUBBLE,62,1891,864,2755
BUBBLE,51,1275,588,1863
BUBBLE,20,190,103,293
BUBBLE,41,820,421,1241
BUBBLE,49,1176,579,1755
BUBBLE,90,4005,2071,6076
